id,name,name_length,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
1136,Carta blanca,12,8,7,1900,1981,0,0
1139,"Mumm, Extra dry",15,7,9,1882,1917,2,8
1141,Sauternes,9,286,311,1881,2012,0,100
1143,Chablis,7,255,274,1851,1984,0,14
1147,Liebfraumilch,13,245,257,1881,1983,0,24
1149,Roast,5,32,33,1851,1972,0.4,2
1151,Barbera,7,11,11,1896,1962,0,5
1154,Barolo,6,11,11,1892,1958,0,12
1157,Capri,5,10,13,1900,1962,0.5,5
1158,Vegetables,10,104,117,1891,1985,0,0.45
1159,Stewed Celery,13,98,103,1893,1959,0.05,0.6
1160,Marsala,7,27,31,1893,1963,0,3
1163,Indian,6,4,4,1901,1938,0.1,0.1
1164,Falerno,7,6,6,1900,1962,0,3
1165,Cup of Consomme,15,36,37,1893,1939,0.1,0.25
1174,Hors d'Oeuvres,14,108,112,1885,1974,0,20
1175,Croute-au-Pot,13,28,33,1896,1962,0.2,40
1177,Olives,6,4321,4554,1858,1980,0,35
1178,Green Turtle,12,94,94,1884,1961,0,50
1181,Pea Soup,8,118,119,1856,1943,0,25
1184,Cup of Clam Broth,17,89,98,1893,1962,0.05,20
1186,Consomme,8,831,985,1865,1976,0,35
1187,"Broiled Halibut Steak, Maitre D'Hotel",37,14,14,1884,1962,0,0
1188,Brook Trout,11,157,211,1892,1965,0.4,60
1190,Chateau Margaux,15,64,65,1851,1920,0,17
1195,Lamb with Green Peas,20,6,6,1899,1964,0.2,2.5
1197,Mulligatawny,12,38,42,1886,1958,0,0.5
1198,Whitebait,9,155,158,1882,1935,0,40
1201,Shad Roe with Bacon,19,38,40,1892,1940,0.2,60
1205,Turkish Coffee,14,495,623,1895,1971,0,25
1209,"Tea, Pot",8,147,148,1898,1977,0,20
1210,"Lettuce, French dressing",24,72,72,1890,1928,0.1,0.35
1212,"Coffee, Pot",11,166,175,1898,1969,0.05,1000
1213,Pudding,7,56,70,1900,1971,0,10
1214,Cream,5,359,392,1887,1970,0,30
1215,Fruits,6,841,863,1864,1978,0,10
1216,Bonbons,7,123,124,1880,1965,0.25,0.25
1219,Cheese and Crackers,19,183,194,1891,1987,0.15,0.75
1220,Buttermilk,10,851,921,1883,1989,0,10
1222,Waffles,7,146,147,1858,1965,0,30
1223,Fresh Strawberries,18,234,247,1895,1987,0,100
1228,"Oranges, each",13,54,55,1900,1917,0.05,0.5
1230,Bar-le-Duc,10,207,234,1893,1955,0,40
1232,Compote of Assorted Fruits,26,37,37,1900,1969,0.45,1.25
1238,Fresh milk,10,243,248,1899,1987,0.25,0.25
1241,Biscuits,8,158,159,1888,1987,0,1.5
1243,Frische Milch,13,168,173,1899,1969,,
1244,Boiled turbot,13,5,5,1899,1927,0,0
1245,Sahne,5,97,98,1899,1974,0,0
1248,Melted butter,13,11,11,1900,1963,0,0
1249,Ginger,6,132,134,1899,1962,0.05,0.3
1258,MAYONNAISE OF CHICKEN,21,94,94,1858,1964,0,1.1
1259,French fried potatoes,21,1329,1411,1884,1987,0,25
1264,SLICED APPLE PIE,16,33,33,1893,1921,0.1,0.2
